type,branch,hero,label,players,users,portalRatePct,day90EligibleRatePct,reached2500RatePct,avgInfluenceD90,avgInfluenceD120,avgEtaHours,avgVillagesLostToHorde,trailDeathRatePct,adoptionRatePct,avgHireDay,portalRateUsersPct,portalRateNonUsersPct,portalDeltaPp,avgEtaUsers,avgInfluenceD120Users
branch,urban,,,236,,24.15,64.83,0,1548.56,1327.53,111.78,2.36,16.53,,,,,,,
branch,tactical,,,242,,35.12,66.53,0,1559.15,1414.15,120.1,2.58,12.81,,,,,,,
branch,defensive,,,261,,36.78,22.99,0,1327.04,1386.22,125.37,1.64,12.26,,,,,,,
branch,flow,,,261,,30.65,64.37,0,1551.54,1350.67,52.25,2.37,7.28,,,,,,,
hero,,engineer,Engenheiro,,591,,,,,,,,,59.1,32.98,37.56,23.47,14.09,106.18,1449.48
hero,,marshal,Marechal,,499,,,,,,,,,49.9,41.62,41.88,21.76,20.13,113.45,1479.19
hero,,navigator,Navegador,,606,,,,,,,,,60.6,66.14,35.81,25.63,10.17,77.46,1382.48
hero,,intendente,Intendente,,472,,,,,,,,,47.2,43.67,40.25,24.24,16.01,91.24,1469.84
hero,,erudite,Erudito,,412,,,,,,,,,41.2,39.23,35.92,28.91,7.01,105.9,1417.93
