type,branch,hero,label,players,users,portalRatePct,day90EligibleRatePct,reached2500RatePct,avgInfluenceD90,avgInfluenceD120,avgEtaHours,avgVillagesLostToHorde,trailDeathRatePct,adoptionRatePct,avgHireDay,portalRateUsersPct,portalRateNonUsersPct,portalDeltaPp,avgEtaUsers,avgInfluenceD120Users
branch,urban,,,86,,26.74,73.26,3.49,1630.63,1444.1,103.86,2.07,17.44,,,,,,,
branch,tactical,,,100,,30,62,1,1565.37,1383.1,113.49,2.78,18,,,,,,,
branch,defensive,,,108,,39.81,25.93,2.78,1384.2,1470.17,123.42,1.4,13.89,,,,,,,
branch,flow,,,106,,31.13,62.26,2.83,1591.81,1409.04,50.35,2.27,11.32,,,,,,,
hero,,engineer,Engenheiro,,238,,,,,,,,,59.5,33.86,41.18,19.14,22.04,99.29,1568.66
hero,,marshal,Marechal,,203,,,,,,,,,50.75,42.51,44.83,19.29,25.54,101.43,1614.78
hero,,navigator,Navegador,,256,,,,,,,,,64,67.07,37.11,23.61,13.5,77.06,1486.08
hero,,intendente,Intendente,,218,,,,,,,,,54.5,43.17,46.33,15.38,30.95,88.59,1598.79
hero,,erudite,Erudito,,160,,,,,,,,,40,38.81,47.5,22.08,25.42,105.42,1594.01
