day,avgPlayersAlive,avgEligiblePortal,avgInfluence,avgBuildingInfluence,avgMilitaryInfluence,avgCouncilInfluence,avgSocietyInfluence,avgQuestInfluence,avgWonderInfluence,avgTribeInfluence,avgTroops,avgVillages
15,50,0,143.47,71.93,44.58,0,26.96,0,0,0,397.2,1.64
30,50,0,355.19,171.62,88.84,15.3,59.93,19.5,0,0,635.3,3.19
60,50,0,951.43,425.34,177.86,137,137.83,39.66,33.75,0,1111.7,5.5
90,50,26.85,1492.13,737.78,266.7,169.75,228.78,55.38,33.75,0,1588.09,7.79
120,15.9,20,1369.85,523.59,267.81,169.9,248.38,55.38,35.6,69.2,826.62,5.24
